reply_tweet_id,customer_message,apple_reply,cluster_intent,intent,created_at,gold_escalate,human_verified,reviewer,reviewed_at,review_notes
53537,"Major security breach on iCloud evident - any issues reported? Sign-in and got other people’s information, books, music etc etc",We'd like to look into this with you. Let's continue in DM.,account_and_store_issues,account_and_store_issues,Wed Nov 01 18:58:33 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T20:57:30.836628+00:00,
2404889,I'm finding it really hard to set up a temporary device whilst my phone is being repaired. Having issues with 2 step verification. I've managed to import my contacts but now I'm having issues verifying in the app store.,"Thanks for reaching out about your Apple ID. We can certainly help. To start, check out this article for help with your Apple ID:",account_and_store_issues,account_and_store_issues,Tue Nov 14 15:06:41 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T20:59:33.803418+00:00,
1808792,"my Apple ID has been disabled for months on charges I didn’t make and I have 61 updates, thanks🙂",Let's try these steps to get you back into your Apple ID: Let us know in DM for more help.,account_and_store_issues,account_and_store_issues,Sat Oct 14 15:57:26 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:00:04.465561+00:00,
998119,When do we get an update that allows us to use the ringtones that we paid for?,"We want you to enjoy your ringtones. To provide the best support, are ringtones set to the desired tone or are they missing?",account_and_store_issues,customer_service_complaint,Sun Oct 22 16:44:35 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:00:35.139440+00:00,
1647741,"I’ve been to Apple store twice and the second time y’all replaced my phone, which also doesn’t work",We want you to have a working phone. Let us know in DM what exactly is going on with the new unit.,account_and_store_issues,customer_service_complaint,Sun Nov 05 22:29:41 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:01:00.038725+00:00,
54439,Yes. Looking for ways to minimize ipad data use while tethered through iPhone on cellular.,"Turning off Background App Refresh is a great step, as well as turning off Automatic Updates under Settings &gt; iTunes &amp; App Store.",account_and_store_issues,recurring_device_issues,Wed Nov 01 19:14:00 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:02:19.215401+00:00,
1932927,Hi Apple Support please I have a problem every time iCloud team send me an mail I don’t understand the language plz help me and thanks,Hey there. We'd like to look into this with you. Share with us in DM which country you are located in to start.,account_and_store_issues,account_and_store_issues,Sat Oct 28 20:58:00 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T20:57:30.836628+00:01,
1525133,Can I change my iPhone 5 with iPhone x?,We have received your DM and we will continue with you there. Look for a reply there shortly.,account_and_store_issues,account_and_store_issues,Fri Nov 03 21:42:00 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T20:59:33.803418+00:01,
487986,Help This apple is a total #FAIL I’d like a refund. 21-Day Shred by American Media Inc.,We'd love to assist you with your refund request. Please reach out to our iTunes Store Support for further assistance here:,account_and_store_issues,account_and_store_issues,Fri Dec 01 15:53:02 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:00:04.465561+00:01,
621759,"Apple Turkey is not treating its customers very well! My IPhone 5S went to repair (2nd time in 3 months), they want to give me a new phone but nobody knows when! AppleTurkey customer service did not help!",Hey there. We're happy to look into this. DM us and we'll go from there.,account_and_store_issues,customer_service_complaint,Wed Oct 04 14:17:01 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
1110816,is this pop up really from Apple?,Thanks for reaching out to us. We're here to help. Please check out his link:,account_and_store_issues,customer_service_complaint,Tue Oct 24 01:54:00 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
1858791,Apple support please solve my problem because there isn’t action from STC,We'd like to know more about what's happening with your new iPhone 8. Could you join us in DM with more info?,account_and_store_issues,customer_service_complaint,Thu Oct 19 15:09:39 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
2484232,"every time I try to reserve an iPhone X in Canada, I got stuck in the last step. Just a loading spinner is displayed.","Thanks for reaching out to us. For all issues with orders, reach out to our Online Store here:",account_and_store_issues,account_and_store_issues,Wed Nov 15 15:31:34 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
991771,Saying that my old number is the one that has my FaceTime and iMessage,Let's follow the steps in the 'Remove your phone number' section here: Let us know if this helps.,account_and_store_issues,account_and_store_issues,Sun Oct 22 18:14:35 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
1004847,My original battery charger was stolen and I am using a temporary while I wait for the one that I bought,Do you know if the charger you're using is certified to be used with Apple devices?,account_and_store_issues,recurring_device_issues,Sat Nov 25 18:21:00 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
2451342,Updated IOS 11. When locked is there a way for passcode to be first option after swiping open a text bc it’s not,We're here to help. What do you see when you swipe to read a text message?,account_and_store_issues,ios_update_issues,Sun Oct 29 17:25:30 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
2003315,any way to force all these apps to download at once? (Note the cloud icon next to name),We can help. Are you restoring an iCloud backup?,account_and_store_issues,account_and_store_issues,Fri Nov 03 19:09:01 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
611238,why do you have to add a card to be able to download FREE apps and update them?,"Let us help you get this sorted out. When you access your payment info, does it give you the option to select ""None""? Follow the steps here to check that, and adjust if needed: DM us if you are not successful:",account_and_store_issues,account_and_store_issues,Wed Nov 22 13:27:00 +0000 2017,FALSE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
1587437,"Hi. My email confirmation for Apple Care+ on my new iPhone X showed up under my father’s (AT&amp;T plan owner) name, not my own.",Thank you for reaching out. Please contact our online sales using the following link:,account_and_store_issues,account_and_store_issues,Sat Nov 04 22:48:51 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
1232303,I’ve read all that before and it doesn’t apply. Only way for me to make it work is to turn on Dictation,"Got it. Reach out to your carrier to be sure this is a supported feature, then update us in DM:",all_apps_crashing,recurring_device_issues,Mon Oct 16 01:41:55 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
2341788,"Hi i am trying to activate my imessage but keeps failing, tagging",We're here to help! Send us a DM with the model of device you're currently using and we'll continue together there.,all_apps_crashing,account_and_store_issues,Mon Nov 13 15:15:21 +0000 2017,TRUE,TRUE,Lokesh Kumar A R,2026-09-16T21:14:44.858285+00:00,
